,Unnamed: 0,name,conservation_status,url,img_name
0,9,North Island brown kiwi | Kiwi-nui,Not Threatened,http://nzbirdsonline.org.nz/species/north-island-brown-kiwi,20CD120062.jpg
1,12,Little spotted kiwi | Kiwi pukupuku,Nationally Increasing,http://nzbirdsonline.org.nz/species/little-spotted-kiwi-kiwi-pukupuku,pottedkiwi.jpg
2,13,Great spotted kiwi | Roroa,Nationally Vulnerable,http://nzbirdsonline.org.nz/species/great-spotted-kiwi,iwiMD0697.jpg
3,34,Whio,Nationally Vulnerable,http://nzbirdsonline.org.nz/species/blue-duck,t21024web.jpg
4,38,Brown teal | Pāteke,Recovering,http://nzbirdsonline.org.nz/species/brown-teal,rown20Teal.jpg
5,65,Kererū,Not Threatened,http://nzbirdsonline.org.nz/species/new-zealand-pigeon,Aug0820039.jpg
6,82,Weka,Not Threatened,http://nzbirdsonline.org.nz/species/weka,3122L1A6245.JPG
7,95,Takahē,Nationally Vulnerable,http://nzbirdsonline.org.nz/species/south-island-takahe,0332Takahe2.jpg
8,100,Oystercatcher | Tōrea pango,Recovering,http://nzbirdsonline.org.nz/species/variable-oystercatcher,1DSC00751.JPG
9,109,New Zealand dotterel | Tūturiwhatu,Recovering,http://nzbirdsonline.org.nz/species/new-zealand-dotterel,5331024web.jpg
10,112,Banded dotterel | Pohowera,Declining,http://nzbirdsonline.org.nz/species/banded-dotterel,nctus12756.jpg
11,216,Yellow-eyed penguin | Hoiho,Nationally Endangered,http://nzbirdsonline.org.nz/species/yellow-eyed-penguin,nsulaNZ15.jpg
12,221,Royal albatross | Toroa,Nationally Vulnerable,http://nzbirdsonline.org.nz/species/northern-royal-albatross,127IMG4027.jpg
14,280,Black petrel | Tāiko,Nationally Vulnerable,http://nzbirdsonline.org.nz/species/black-petrel,R2DSC1905.jpg
17,356,New Zealand falcon | Kārearea,Recovering,http://nzbirdsonline.org.nz/species/new-zealand-falcon,0303Falcon1.jpg
18,357,Kākāpō | Kakapo,Nationally Critical,http://nzbirdsonline.org.nz/species/kakapo,apoDvW2007.jpg
19,358,Kākā | Kaka,Recovering,http://nzbirdsonline.org.nz/species/kaka,0Sep202013.jpg
20,360,Kea,Nationally Endangered,http://nzbirdsonline.org.nz/species/kea,Oct20091.JPG
21,366,Kākāriki,Declining,http://nzbirdsonline.org.nz/species/yellow-crowned-parakeet,na20Island.jpg
22,372,Rifleman | Tītitipounamu,Not Threatened,http://nzbirdsonline.org.nz/species/rifleman,5140I9A4257.jpg
23,374,Rock wren | Pīwauwau,Nationally Endangered,http://nzbirdsonline.org.nz/species/rock-wren,EnhancedNR.jpg
24,379,Bellbird | Korimako,Not Threatened,http://nzbirdsonline.org.nz/species/bellbird,38Bellbird2.jpg
25,381,Tūī ,Not Threatened,http://nzbirdsonline.org.nz/species/tui,470543Tui1.jpg
26,383,Grey warbler | Riroriro,Not Threatened,http://nzbirdsonline.org.nz/species/grey-warbler,y20warbler.jpg
27,385,Kōkako,Nationally Increasing,http://nzbirdsonline.org.nz/species/north-island-kokako,0526Kokako2.JPG
28,388,Saddleback | Tīeke,Recovering,http://nzbirdsonline.org.nz/species/south-island-saddleback,otuara20Is.jpg
29,390,Hihi, Nationally Vulnerable,http://nzbirdsonline.org.nz/species/stitchbird,pr08134web.jpg
31,402,Pīwakawaka,Not Threatened,http://nzbirdsonline.org.nz/species/new-zealand-fantail,52L1A95640.jpg
32,409,Tomtit | Miromiro,Not Threatened,http://nzbirdsonline.org.nz/species/tomtit,tit20male.jpg
33,410,Black robin | Karure,Nationally Critical,http://nzbirdsonline.org.nz/species/black-robin,bin2004.02.jpg
34,411,Ruru | Morepork,Not Threatened,http://nzbirdsonline.org.nz/species/morepork,495Morepork.jpg
